04180601,14,5: 50.00%%; 10: 14.29%%; 15: 35.71%%; 15+: 0.00%%
04180602,13,5: 30.77%%; 10: 38.46%%; 15: 30.77%%; 15+: 0.00%%
04180701,23,5: 69.57%%; 10: 17.39%%; 15: 13.04%%; 15+: 0.00%%
04180702,35,5: 74.29%%; 10: 20.00%%; 15: 5.71%%; 15+: 0.00%%
04180801,46,5: 80.43%%; 10: 15.22%%; 15: 4.35%%; 15+: 0.00%%
04180802,37,5: 62.16%%; 10: 21.62%%; 15: 13.51%%; 15+: 2.70%%
04180901,37,5: 62.16%%; 10: 29.73%%; 15: 8.11%%; 15+: 0.00%%
04180902,31,5: 51.61%%; 10: 35.48%%; 15: 9.68%%; 15+: 3.23%%
04181001,22,5: 36.36%%; 10: 50.00%%; 15: 4.55%%; 15+: 9.09%%
04181002,22,5: 50.00%%; 10: 22.73%%; 15: 18.18%%; 15+: 9.09%%
04181101,25,5: 56.00%%; 10: 28.00%%; 15: 12.00%%; 15+: 4.00%%
04181102,31,5: 61.29%%; 10: 16.13%%; 15: 22.58%%; 15+: 0.00%%
04181201,28,5: 67.86%%; 10: 10.71%%; 15: 14.29%%; 15+: 7.14%%
04181202,21,5: 19.05%%; 10: 57.14%%; 15: 19.05%%; 15+: 4.76%%
04181301,19,5: 57.89%%; 10: 36.84%%; 15: 5.26%%; 15+: 0.00%%
04181302,15,5: 53.33%%; 10: 26.67%%; 15: 20.00%%; 15+: 0.00%%
04181401,26,5: 46.15%%; 10: 38.46%%; 15: 11.54%%; 15+: 3.85%%
04181402,24,5: 50.00%%; 10: 37.50%%; 15: 12.50%%; 15+: 0.00%%
04181501,16,5: 56.25%%; 10: 31.25%%; 15: 12.50%%; 15+: 0.00%%
04181502,29,5: 51.72%%; 10: 31.03%%; 15: 10.34%%; 15+: 6.90%%
04181601,34,5: 55.88%%; 10: 26.47%%; 15: 14.71%%; 15+: 2.94%%
04181602,50,5: 62.00%%; 10: 26.00%%; 15: 10.00%%; 15+: 2.00%%
04181701,43,5: 62.79%%; 10: 27.91%%; 15: 9.30%%; 15+: 0.00%%
04181702,36,5: 63.89%%; 10: 27.78%%; 15: 8.33%%; 15+: 0.00%%
04181801,39,5: 58.97%%; 10: 23.08%%; 15: 12.82%%; 15+: 5.13%%
04181802,47,5: 53.19%%; 10: 34.04%%; 15: 12.77%%; 15+: 0.00%%
04181901,36,5: 58.33%%; 10: 22.22%%; 15: 16.67%%; 15+: 2.78%%
04181902,36,5: 58.33%%; 10: 16.67%%; 15: 22.22%%; 15+: 2.78%%
04182001,27,5: 59.26%%; 10: 18.52%%; 15: 14.81%%; 15+: 7.41%%
04182002,29,5: 37.93%%; 10: 31.03%%; 15: 31.03%%; 15+: 0.00%%
04182101,36,5: 36.11%%; 10: 38.89%%; 15: 19.44%%; 15+: 5.56%%
04182102,40,5: 30.00%%; 10: 37.50%%; 15: 25.00%%; 15+: 7.50%%
04182201,36,5: 44.44%%; 10: 27.78%%; 15: 19.44%%; 15+: 8.33%%
04182202,39,5: 43.59%%; 10: 33.33%%; 15: 15.38%%; 15+: 7.69%%
